,date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-09-10 04:00:00,46190.63000000,58999.99000000,15619.02000000,46889.62000000,0.31375000,2021-09-10 04:14:59.999,13391.68366450,36,0.25606000,11970.99816510
1,2021-09-10 04:15:00,46874.37000000,46968.41000000,46500.01000000,46700.00000000,0.01879000,2021-09-10 04:29:59.999,878.33664520,9,0.00315000,147.74679040
2,2021-09-10 04:30:00,46954.99000000,46954.99000000,46937.69000000,46937.69000000,0.06722000,2021-09-10 04:44:59.999,3156.25489970,5,0.06722000,3156.25489970
3,2021-09-10 04:45:00,43351.02000000,46954.95000000,43351.02000000,46954.95000000,0.01261000,2021-09-10 04:59:59.999,548.31417000,2,0.00046000,21.59927700
4,2021-09-10 05:00:00,43555.79000000,43555.79000000,43555.79000000,43555.79000000,0.00301000,2021-09-10 05:14:59.999,131.10292790,1,0.00000000,0.00000000
5,2021-09-10 05:15:00,48999.99000000,48999.99000000,43650.04000000,46300.01000000,0.01671000,2021-09-10 05:29:59.999,788.30549260,5,0.00922000,451.40280580
6,2021-09-10 05:30:00,45000.01000000,47999.97000000,45000.01000000,47999.95000000,0.00706000,2021-09-10 05:44:59.999,332.40532720,4,0.00411000,197.27983230
7,2021-09-10 05:45:00,47999.95000000,47999.95000000,47999.95000000,47999.95000000,0.00000000,2021-09-10 05:59:59.999,0.00000000,0,0.00000000,0.00000000
8,2021-09-10 06:00:00,46421.57000000,47639.34000000,46421.57000000,46757.88000000,0.02175000,2021-09-10 06:14:59.999,1012.97379310,23,0.00314000,147.28421890
9,2021-09-10 06:15:00,43500.04000000,47700.87000000,43500.04000000,47700.87000000,0.00048000,2021-09-10 06:29:59.999,21.76219350,2,0.00021000,10.01718270
10,2021-09-10 06:30:00,47500.00000000,47500.00000000,43600.01000000,43600.01000000,0.05511000,2021-09-10 06:44:59.999,2531.61322080,2,0.00000000,0.00000000
11,2021-09-10 06:45:00,43600.01000000,43600.01000000,43600.01000000,43600.01000000,0.00000000,2021-09-10 06:59:59.999,0.00000000,0,0.00000000,0.00000000
12,2021-09-10 07:00:00,44201.02000000,44201.02000000,44201.00000000,44201.00000000,0.00068000,2021-09-10 07:14:59.999,30.05668680,2,0.00000000,0.00000000
13,2021-09-10 07:15:00,44501.01000000,45090.37000000,23000.00000000,23000.00000000,0.83663000,2021-09-10 07:29:59.999,35854.96313370,90,0.15891000,6986.96818620
14,2021-09-10 07:30:00,23000.00000000,45999.00000000,20000.00000000,45999.00000000,0.83585000,2021-09-10 07:44:59.999,29063.33631130,43,0.80073000,28019.38631130
15,2021-09-10 07:45:00,45999.00000000,48079.98000000,39101.35000000,46090.00000000,0.12548000,2021-09-10 07:59:59.999,5757.21315770,13,0.07833000,3688.88471060
16,2021-09-10 08:00:00,47998.92000000,47998.92000000,45865.02000000,45865.02000000,0.01150000,2021-09-10 08:14:59.999,537.15548550,7,0.00360000,172.77632600
17,2021-09-10 08:15:00,47998.79000000,47998.79000000,44100.01000000,46028.27000000,0.04438000,2021-09-10 08:29:59.999,2025.92092110,7,0.01462000,682.76018380
